George Washington,16:43
John Adams,31:40
Thomas Jefferson,28:20
James Madison,25:37
James Monroe,26:27
John Quincy Adams,21:51
Andrew Jackson,33:21
Martin Van Buren,16:39
William Henry Harrison,26:52
John Tyler,20:21
